ACG,Brand,Market,Product ID,CG,SCG,Long Name,Sales,Vollume,calender week,MAT,'YTD
Consumer,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,"261,96",2,1,MAT,Null
Consumer,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","731,94",3,2,MAT-1,Null
Corporate,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,"14,62",2,3,MAT-2,Null
Consumer,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"957,5775",5,4,MAT,Null
Consumer,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,"22,368",2,5,MAT-1,Null
Consumer,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","48,86",7,6,MAT-2,Null
Consumer,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,"7,28",4,7,MAT,Null
Consumer,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,"907,152",6,8,MAT-1,Null
Consumer,California,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,"18,504",3,9,MAT-2,Null
Consumer,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,"114,9",5,10,MAT,Null
Consumer,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,"1706,184",9,11,MAT-1,Null
Consumer,California,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,"911,424",4,12,MAT-2,Null
Consumer,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,"15,552",3,13,MAT,YTD
Consumer,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,"407,976",3,1,MAT-1,Null
Home Office,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","68,81",5,2,MAT-2,Null
Home Office,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,"2,544",3,3,MAT,Null
Consumer,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","665,88",6,4,MAT-1,Null
Consumer,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,"55,5",2,5,MAT-2,Null
Consumer,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,"8,56",2,6,MAT,Null
Consumer,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,"213,48",3,7,MAT-1,Null
Consumer,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""","22,72",4,8,MAT-2,Null
Corporate,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,"19,46",7,9,MAT,Null
Corporate,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length","60,34",7,10,MAT-1,Null
Consumer,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray","71,372",2,11,MAT-2,Null
Consumer,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"1044,63",3,12,MAT,Null
Consumer,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,"11,648",2,13,MAT-1,YTD-1
Consumer,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,"90,57",3,1,MAT-2,Null
Consumer,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","3083,43",7,2,MAT,Null
Consumer,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,"9,618",2,3,MAT-1,Null
Consumer,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","124,2",3,4,MAT-2,Null
Consumer,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,"3,264",2,5,MAT,Null
Consumer,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","86,304",6,6,MAT-1,Null
Consumer,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","6,858",6,7,MAT-2,Null
Consumer,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,"15,76",2,8,MAT,Null
Home Office,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,"29,472",3,9,MAT-1,Null
Corporate,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,"1097,544",7,10,MAT-2,Null
Corporate,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black","190,92",5,11,MAT,Null
Home Office,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","113,328",9,12,MAT-1,Null
Home Office,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","532,3992",3,13,MAT-2,YTD-2
Home Office,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray","212,058",3,1,MAT,Null
Home Office,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,"371,168",4,2,MAT-1,Null
Corporate,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,"147,168",4,3,MAT-2,Null
Corporate,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum","77,88",2,4,MAT,Null
Corporate,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","95,616",2,5,MAT-1,Null
Corporate,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","45,98",2,6,MAT-2,Null
Corporate,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,"17,46",2,7,MAT,Null
Consumer,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","211,96",4,8,MAT-1,Null
Consumer,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,9,MAT-2,Null
Consumer,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","21,8",2,10,MAT,Null
Consumer,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","38,22",6,11,MAT-1,Null
Consumer,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,"75,18",6,12,MAT-2,Null
Consumer,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,"6,16",2,13,MAT,YTD
Consumer,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black","89,99",1,1,MAT-1,Null
Corporate,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,"15,26",7,2,MAT-2,Null
Corporate,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,"1029,95",5,3,MAT,Null
Consumer,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,"208,56",6,4,MAT-1,Null
Consumer,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,"32,4",5,5,MAT-2,Null
Consumer,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,"319,41",5,6,MAT,Null
Consumer,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors","14,56",2,7,MAT-1,Null
Consumer,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,8,MAT-2,Null
Consumer,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,"48,48",4,9,MAT,Null
